The Root, Americana, Lunch/Dinner, Close
Pandora’s, Pizza, Dinner, Close
Simply Thai, Asian, Dinner, Close
Mixed Rice, Asian, Lunch/Dinner, Close
Steak and Shake, Americana, Dinner/Dessert, Close
Michelle’s Kitchen, Nice, Dinner, Close
Prego’s, Italian, Dinner, Close
Sal’s, Italian, Dinner, Close
Panera, chain, Breakfast/Lunch/Dinner, Close
Press, Americana, Breakfast/Lunch, Far
Cracker Barrel, Americana, Breakfast, Close
Grill Works, Americana, Breakfast, Far
Med Deli, Mediterranean, Lunch/Dinner/Dessert, Close
Bowl and Naan, Indian, Lunch/Dinner, Close,
Taaza, Indian, Dinner, Close
Cookout, chain, Dinner/Dessert, Close
Red Bowl, Asian, Dinner, Close
Tropical Smoothie, Americana, Dessert, Close
Umami, Asian, Dinner, Far
Da Vinci’s Table, Italian, Dinner, Close
Print Works, Nice, Breakfast/Dinner, Far
1618, Nice, Dinner, Far
Maxie B’s, Americana, Dessert, Far
Pho Hien Vuong, Asian, Dinner, Far
Hops Burgers, Americana, Dinner, Far
Don, Asian, Dinner, Far
GIA, Nice, Dinner, Far
San Marcos, Mexican, Dinner, Close
The Mission, Mexican, Dinner, Close
New York Bagels, Americana, Breakfast/Lunch/Dinner, Close
